1378441,,농산물,채소류,[CJ] 청양고추,1kg,EA,2,CJ프레시웨이,n,,,6630,n,,자동발주,n,y,,,공통,y,,y,
1378442,,자체물류,소스류(냉장),스리라차마요 소스,6kg,EA,1,,,,,32000,y,,수동발주,n,y,,,공통,y,,y,
1378830,,냉동식품,냉동튀김류,[새봄] 사옹원 우유튀김,1kg,EA,3,새봄식자재,y,,,10980,y,,자동발주,n,y,,,공통,y,y,y,
1378831,,냉동식품,냉동튀김류,[새봄] 사옹원 김말이 튀김,1kg,EA,3,새봄식자재,y,,,6280,y,,자동발주,n,y,,,공통,y,y,y,y
1379919,,농산물,곡류,쌀 20kg,20kg,EA,1,,,,국내산,47000,n,,수동발주,n,y,,3,공통,y,,y,
1379920,,조미료,유지류,[다봄] 대두유 식용유 18L,18L,EA,2,다봄푸드,y,,,37620,y,다봄푸드,자동발주,n,y,,,공통,,y,,
1380409,,조미료,유지류,마가린(낱개),450g,EA,3,다봄푸드,y,,,2180,y,,자동발주,n,y,,,공통,y,,y,y
1380410,,조미료,향신료,신영 파슬리가루,200g,EA,2,다봄푸드,y,,,6380,y,,자동발주,n,y,,,공통,y,,y,
1380411,,조미료,분말조미료,크노르 치킨파우더 (치킨스톡),1kg,EA,1,,,,,12000,y,,자동발주,n,y,,,공통,y,,y,
1380412,,냉동식품,냉동튀김류,[새봄] 만복 당면 야끼만두,1.2kg,EA,3,새봄식자재,y,,,7120,y,,자동발주,n,y,,,공통,y,y,y,y
1380416,,자체물류,소스류(냉장),덮밥소스,6kg,EA,1,,,,,30000,y,,자동발주,y,n,,,공통,,,,
1387138,,농산물,채소류,[CJ] 청양고추,1kg,EA,2,CJ프레시웨이,n,,,3900,y,,수동발주,n,y,,,공통,,y,,
1387139,,일회용품,장갑류,목장갑 100묶음,100,묶음,2,기본 배송비(무료배송),n,,,15470,y,,자동발주,n,y,,,공통,y,y,y,
1387415,,일회용품,깃발,딱돼지 깃발 (소량),100,EA,1,,,,,18000,y,,수동발주,n,y,,,공통,y,,y,
1388828,,냉동식품,냉동튀김류,[담다] 헤드온 빵가루 새우튀김 10미,300g,EA,3,담다,y,,,3200,y,,수동발주,n,y,,,공통,y,y,y,y
1388830,,냉동식품,냉동튀김류,[담다] 사옹원 매콤오징어 튀김 1kg,1kg,EA,3,담다,y,,,12450,y,,수동발주,n,y,,,공통,y,y,y,y
1389389,,떡류,쌀떡,"떡볶이 떡(쌀, 중) [떡볶이떡] (낱개)",1.5kg,EA,3,떡(1.5kg),n,,,3500,y,,수동 묶음발주,n,n,,,공통,y,,y,
1401383,,일회용품,종이용기,사이드박스,600p,BOX,2,기본 배송비(무료배송),n,,,50000,y,,자동발주,n,y,,,공통,y,,y,
1401387,,자체물류,소스류(냉장),돼지갈비육수,6kg,EA,1,,,,,5000,y,,수동발주,n,n,,,공통,y,,y,
